date_key,date,year,month,week,day_of_week,day_name,is_weekend,holiday_flag,event_flag,month_name
20260101,2026-01-01,2026,1,1,4,Thursday,False,False,True,January
20260102,2026-01-02,2026,1,1,5,Friday,False,False,True,January
20260103,2026-01-03,2026,1,1,6,Saturday,True,False,True,January
20260104,2026-01-04,2026,1,1,7,Sunday,True,False,False,January
20260105,2026-01-05,2026,1,2,1,Monday,False,False,False,January
20260106,2026-01-06,2026,1,2,2,Tuesday,False,False,False,January
20260107,2026-01-07,2026,1,2,3,Wednesday,False,False,False,January
20260108,2026-01-08,2026,1,2,4,Thursday,False,False,False,January
20260109,2026-01-09,2026,1,2,5,Friday,False,False,False,January
20260110,2026-01-10,2026,1,2,6,Saturday,True,False,False,January
20260111,2026-01-11,2026,1,2,7,Sunday,True,False,False,January
20260112,2026-01-12,2026,1,3,1,Monday,False,False,False,January
20260113,2026-01-13,2026,1,3,2,Tuesday,False,False,False,January
20260114,2026-01-14,2026,1,3,3,Wednesday,False,False,False,January
20260115,2026-01-15,2026,1,3,4,Thursday,False,False,False,January
20260116,2026-01-16,2026,1,3,5,Friday,False,False,False,January
20260117,2026-01-17,2026,1,3,6,Saturday,True,False,False,January
20260118,2026-01-18,2026,1,3,7,Sunday,True,False,False,January
20260119,2026-01-19,2026,1,4,1,Monday,False,False,False,January
20260120,2026-01-20,2026,1,4,2,Tuesday,False,False,False,January
20260121,2026-01-21,2026,1,4,3,Wednesday,False,False,False,January
20260122,2026-01-22,2026,1,4,4,Thursday,False,False,False,January
20260123,2026-01-23,2026,1,4,5,Friday,False,False,False,January
20260124,2026-01-24,2026,1,4,6,Saturday,True,False,False,January
20260125,2026-01-25,2026,1,4,7,Sunday,True,False,True,January
20260126,2026-01-26,2026,1,5,1,Monday,False,False,True,January
20260127,2026-01-27,2026,1,5,2,Tuesday,False,False,True,January
20260128,2026-01-28,2026,1,5,3,Wednesday,False,False,False,January
20260129,2026-01-29,2026,1,5,4,Thursday,False,False,False,January
20260130,2026-01-30,2026,1,5,5,Friday,False,False,False,January
20260131,2026-01-31,2026,1,5,6,Saturday,True,False,True,January
20260201,2026-02-01,2026,2,5,7,Sunday,True,False,True,February
20260202,2026-02-02,2026,2,6,1,Monday,False,False,True,February
20260203,2026-02-03,2026,2,6,2,Tuesday,False,False,True,February
20260204,2026-02-04,2026,2,6,3,Wednesday,False,False,False,February
20260205,2026-02-05,2026,2,6,4,Thursday,False,False,False,February
20260206,2026-02-06,2026,2,6,5,Friday,False,False,False,February
20260207,2026-02-07,2026,2,6,6,Saturday,True,False,False,February
20260208,2026-02-08,2026,2,6,7,Sunday,True,False,False,February
20260209,2026-02-09,2026,2,7,1,Monday,False,False,False,February
20260210,2026-02-10,2026,2,7,2,Tuesday,False,False,False,February
20260211,2026-02-11,2026,2,7,3,Wednesday,False,False,False,February
20260212,2026-02-12,2026,2,7,4,Thursday,False,False,False,February
20260213,2026-02-13,2026,2,7,5,Friday,False,False,False,February
20260214,2026-02-14,2026,2,7,6,Saturday,True,False,False,February
20260215,2026-02-15,2026,2,7,7,Sunday,True,False,False,February
20260216,2026-02-16,2026,2,8,1,Monday,False,False,False,February
20260217,2026-02-17,2026,2,8,2,Tuesday,False,False,False,February
20260218,2026-02-18,2026,2,8,3,Wednesday,False,False,False,February
20260219,2026-02-19,2026,2,8,4,Thursday,False,False,False,February
20260220,2026-02-20,2026,2,8,5,Friday,False,False,False,February
20260221,2026-02-21,2026,2,8,6,Saturday,True,False,False,February
20260222,2026-02-22,2026,2,8,7,Sunday,True,False,False,February
20260223,2026-02-23,2026,2,9,1,Monday,False,False,False,February
20260224,2026-02-24,2026,2,9,2,Tuesday,False,False,False,February
20260225,2026-02-25,2026,2,9,3,Wednesday,False,False,False,February
20260226,2026-02-26,2026,2,9,4,Thursday,False,False,False,February
20260227,2026-02-27,2026,2,9,5,Friday,False,False,False,February
20260228,2026-02-28,2026,2,9,6,Saturday,True,False,False,February
20260301,2026-03-01,2026,3,9,7,Sunday,True,False,True,March
20260302,2026-03-02,2026,3,10,1,Monday,False,False,True,March
20260303,2026-03-03,2026,3,10,2,Tuesday,False,False,True,March
20260304,2026-03-04,2026,3,10,3,Wednesday,False,False,True,March
20260305,2026-03-05,2026,3,10,4,Thursday,False,False,False,March
20260306,2026-03-06,2026,3,10,5,Friday,False,False,False,March
20260307,2026-03-07,2026,3,10,6,Saturday,True,False,True,March
20260308,2026-03-08,2026,3,10,7,Sunday,True,False,True,March
20260309,2026-03-09,2026,3,11,1,Monday,False,False,True,March
20260310,2026-03-10,2026,3,11,2,Tuesday,False,False,True,March
20260311,2026-03-11,2026,3,11,3,Wednesday,False,False,True,March
20260312,2026-03-12,2026,3,11,4,Thursday,False,False,False,March
20260313,2026-03-13,2026,3,11,5,Friday,False,False,False,March
20260314,2026-03-14,2026,3,11,6,Saturday,True,False,False,March
20260315,2026-03-15,2026,3,11,7,Sunday,True,False,False,March
20260316,2026-03-16,2026,3,12,1,Monday,False,False,False,March
20260317,2026-03-17,2026,3,12,2,Tuesday,False,False,False,March
20260318,2026-03-18,2026,3,12,3,Wednesday,False,False,False,March
20260319,2026-03-19,2026,3,12,4,Thursday,False,False,False,March
20260320,2026-03-20,2026,3,12,5,Friday,False,False,False,March
20260321,2026-03-21,2026,3,12,6,Saturday,True,False,False,March
20260322,2026-03-22,2026,3,12,7,Sunday,True,False,True,March
20260323,2026-03-23,2026,3,13,1,Monday,False,False,True,March
20260324,2026-03-24,2026,3,13,2,Tuesday,False,False,True,March
20260325,2026-03-25,2026,3,13,3,Wednesday,False,False,True,March
20260326,2026-03-26,2026,3,13,4,Thursday,False,False,False,March
20260327,2026-03-27,2026,3,13,5,Friday,False,False,False,March
20260328,2026-03-28,2026,3,13,6,Saturday,True,False,False,March
20260329,2026-03-29,2026,3,13,7,Sunday,True,False,False,March
20260330,2026-03-30,2026,3,14,1,Monday,False,False,False,March
20260331,2026-03-31,2026,3,14,2,Tuesday,False,False,False,March
20260401,2026-04-01,2026,4,14,3,Wednesday,False,False,False,April
20260402,2026-04-02,2026,4,14,4,Thursday,False,False,False,April
20260403,2026-04-03,2026,4,14,5,Friday,False,False,False,April
20260404,2026-04-04,2026,4,14,6,Saturday,True,False,False,April
20260405,2026-04-05,2026,4,14,7,Sunday,True,False,False,April
20260406,2026-04-06,2026,4,15,1,Monday,False,False,False,April
20260407,2026-04-07,2026,4,15,2,Tuesday,False,False,False,April
20260408,2026-04-08,2026,4,15,3,Wednesday,False,False,False,April
20260409,2026-04-09,2026,4,15,4,Thursday,False,False,False,April
20260410,2026-04-10,2026,4,15,5,Friday,False,False,False,April
20260411,2026-04-11,2026,4,15,6,Saturday,True,False,False,April
20260412,2026-04-12,2026,4,15,7,Sunday,True,False,False,April
20260413,2026-04-13,2026,4,16,1,Monday,False,False,False,April
20260414,2026-04-14,2026,4,16,2,Tuesday,False,False,False,April
20260415,2026-04-15,2026,4,16,3,Wednesday,False,False,False,April
20260416,2026-04-16,2026,4,16,4,Thursday,False,False,False,April
20260417,2026-04-17,2026,4,16,5,Friday,False,False,False,April
20260418,2026-04-18,2026,4,16,6,Saturday,True,False,False,April
20260419,2026-04-19,2026,4,16,7,Sunday,True,False,False,April
20260420,2026-04-20,2026,4,17,1,Monday,False,False,False,April
20260421,2026-04-21,2026,4,17,2,Tuesday,False,False,False,April
20260422,2026-04-22,2026,4,17,3,Wednesday,False,False,False,April
20260423,2026-04-23,2026,4,17,4,Thursday,False,False,False,April
20260424,2026-04-24,2026,4,17,5,Friday,False,False,False,April
20260425,2026-04-25,2026,4,17,6,Saturday,True,False,False,April
20260426,2026-04-26,2026,4,17,7,Sunday,True,False,True,April
20260427,2026-04-27,2026,4,18,1,Monday,False,False,True,April
20260428,2026-04-28,2026,4,18,2,Tuesday,False,False,True,April
20260429,2026-04-29,2026,4,18,3,Wednesday,False,False,True,April
20260430,2026-04-30,2026,4,18,4,Thursday,False,False,True,April
20260501,2026-05-01,2026,5,18,5,Friday,False,False,True,May
20260502,2026-05-02,2026,5,18,6,Saturday,True,False,True,May
20260503,2026-05-03,2026,5,18,7,Sunday,True,False,True,May
20260504,2026-05-04,2026,5,19,1,Monday,False,False,True,May
20260505,2026-05-05,2026,5,19,2,Tuesday,False,False,True,May
20260506,2026-05-06,2026,5,19,3,Wednesday,False,False,False,May
20260507,2026-05-07,2026,5,19,4,Thursday,False,False,False,May
20260508,2026-05-08,2026,5,19,5,Friday,False,False,False,May
20260509,2026-05-09,2026,5,19,6,Saturday,True,False,False,May
20260510,2026-05-10,2026,5,19,7,Sunday,True,False,False,May
