sku_id,sku_name,category,subcategory,unit_cost,selling_price,lead_time_hours,shelf_life_days,priority_class,velocity_class,minimum_order_quantity,case_pack_size,active_flag
1,DAIR_MILK_01,Dairy,Milk,70.55,95.23,24,8,A,High,16,8,True
2,DAIR_CURD_02,Dairy,Curd,35.11,47.2,24,5,A,High,16,4,True
3,DAIR_BUTT_03,Dairy,Butter,58.56,70.68,12,9,A,High,24,24,True
4,DAIR_CHEE_04,Dairy,Cheese,48.68,63.86,48,9,A,High,4,4,True
5,DAIR_PANE_05,Dairy,Paneer,69.65,94.1,24,10,A,High,24,8,True
6,DAIR_MILK_06,Dairy,Milk,43.02,50.9,12,4,A,High,6,6,True
7,DAIR_CURD_07,Dairy,Curd,128.43,154.99,24,7,A,High,72,24,True
8,DAIR_BUTT_08,Dairy,Butter,112.98,138.28,72,9,A,High,12,4,True
9,DAIR_CHEE_09,Dairy,Cheese,138.24,167.11,36,3,A,High,32,8,True
10,DAIR_PANE_10,Dairy,Paneer,83.61,104.2,12,6,A,High,24,8,True
11,DAIR_MILK_11,Dairy,Milk,172.9,214.92,72,10,B,High,8,8,True
12,DAIR_CURD_12,Dairy,Curd,108.83,143.6,72,3,B,High,12,12,True
13,DAIR_BUTT_13,Dairy,Butter,87.06,121.24,12,7,B,High,16,4,True
14,DAIR_CHEE_14,Dairy,Cheese,148.7,190.76,48,9,B,High,24,24,True
15,DAIR_PANE_15,Dairy,Paneer,37.46,51.04,24,9,B,High,8,8,True
16,DAIR_MILK_16,Dairy,Milk,104.92,137.79,72,9,B,High,36,12,True
17,DAIR_CURD_17,Dairy,Curd,86.01,108.57,72,6,B,High,12,4,True
18,DAIR_BUTT_18,Dairy,Butter,158.8,203.24,36,4,B,High,6,6,True
19,DAIR_CHEE_19,Dairy,Cheese,139.36,189.48,72,3,B,High,24,24,True
20,DAIR_PANE_20,Dairy,Paneer,115.11,139.53,12,9,B,High,12,6,True
21,DAIR_MILK_21,Dairy,Milk,43.02,59.48,36,4,B,High,8,4,True
22,DAIR_CURD_22,Dairy,Curd,44.58,53.74,36,3,B,High,12,12,True
23,DAIR_BUTT_23,Dairy,Butter,47.94,57.13,36,7,B,High,24,8,True
24,DAIR_CHEE_24,Dairy,Cheese,82.98,103.72,72,7,B,High,48,12,True
25,DAIR_PANE_25,Dairy,Paneer,156.18,185.79,36,4,B,High,24,24,True
26,DAIR_MILK_26,Dairy,Milk,59.9,78.21,72,6,B,High,6,6,True
27,DAIR_CURD_27,Dairy,Curd,79.78,103.33,72,3,B,High,16,4,True
28,DAIR_BUTT_28,Dairy,Butter,28.31,39.17,48,3,B,High,96,24,True
29,DAIR_CHEE_29,Dairy,Cheese,164.42,229.45,24,9,B,High,32,8,True
30,DAIR_PANE_30,Dairy,Paneer,122.8,165.95,48,4,B,High,72,24,True
31,BEVE_JUIC_01,Beverages,Juices,68.99,94.42,72,173,A,High,24,12,True
32,BEVE_COLD_02,Beverages,Cold Drinks,82.15,101.75,12,115,A,High,16,8,True
33,BEVE_TEA _03,Beverages,Tea & Coffee,58.77,72.36,24,156,A,High,16,8,True
34,BEVE_ENER_04,Beverages,Energy Drinks,49.39,62.4,12,214,A,High,12,6,True
35,BEVE_WATE_05,Beverages,Water,114.63,158.37,72,177,A,High,24,12,True
36,BEVE_JUIC_06,Beverages,Juices,71.22,97.34,36,208,A,High,24,6,True
37,BEVE_COLD_07,Beverages,Cold Drinks,70.94,93.59,12,142,A,High,12,4,True
38,BEVE_TEA _08,Beverages,Tea & Coffee,36.25,48.32,36,245,A,High,24,24,True
39,BEVE_ENER_09,Beverages,Energy Drinks,79.51,95.49,48,221,A,High,8,8,True
40,BEVE_WATE_10,Beverages,Water,113.27,137.08,72,263,A,High,16,4,True
41,BEVE_JUIC_11,Beverages,Juices,77.34,104.58,72,233,B,High,96,24,True
42,BEVE_COLD_12,Beverages,Cold Drinks,41.61,54.5,12,107,B,High,24,8,True
43,BEVE_TEA _13,Beverages,Tea & Coffee,32.99,43.03,12,193,B,High,16,8,True
44,BEVE_ENER_14,Beverages,Energy Drinks,69.88,94.2,72,234,B,High,16,8,True
45,BEVE_WATE_15,Beverages,Water,77.96,107.96,72,111,B,High,12,12,True
46,BEVE_JUIC_16,Beverages,Juices,24.21,32.07,48,165,B,High,96,24,True
47,BEVE_COLD_17,Beverages,Cold Drinks,85.48,107.14,48,252,B,High,96,24,True
48,BEVE_TEA _18,Beverages,Tea & Coffee,43.41,54.7,36,146,B,High,6,6,True
49,BEVE_ENER_19,Beverages,Energy Drinks,30.52,42.3,36,169,B,High,24,12,True
50,BEVE_WATE_20,Beverages,Water,91.62,119.26,72,259,B,High,24,6,True
51,BEVE_JUIC_21,Beverages,Juices,65.33,82.5,48,268,B,High,12,4,True
52,BEVE_COLD_22,Beverages,Cold Drinks,114.88,138.55,24,243,B,High,72,24,True
