store_id,city_id,store_name,latitude,longitude,capacity_units,operating_hours,local_demand_multiplier,store_priority,active_flag
1,1,BEN_DS_01,12.986836,77.542601,85000,18,1.15,1,True
2,1,BEN_DS_02,12.906491,77.600992,110000,18,1.19,1,True
3,1,BEN_DS_03,12.928948,77.63857,65000,18,1.12,3,True
4,1,BEN_DS_04,12.994975,77.551635,110000,18,1.08,1,True
5,1,BEN_DS_05,13.015523,77.592104,65000,18,0.98,3,True
6,1,BEN_DS_06,12.963874,77.573184,95000,18,0.9,2,True
7,1,BEN_DS_07,12.989872,77.615237,95000,18,1.17,3,True
8,1,BEN_DS_08,12.945988,77.553911,95000,18,1.03,1,True
9,1,BEN_DS_09,12.965903,77.552592,75000,18,1.13,2,True
10,1,BEN_DS_10,12.998758,77.561325,75000,18,1.2,2,True
11,2,DEL_DS_01,28.715034,77.146071,95000,18,0.9,1,True
12,2,DEL_DS_02,28.718556,77.134064,65000,18,1.15,3,True
13,2,DEL_DS_03,28.680581,77.070556,65000,18,0.86,2,True
14,2,DEL_DS_04,28.752514,77.018357,65000,18,1.18,2,True
15,2,DEL_DS_05,28.733411,77.138061,95000,18,0.82,2,True
16,2,DEL_DS_06,28.746999,77.092935,75000,18,1.23,1,True
17,2,DEL_DS_07,28.658127,77.127358,110000,18,1.13,2,True
18,2,DEL_DS_08,28.712027,77.13378,75000,18,1.0,3,True
19,2,DEL_DS_09,28.671004,77.084347,65000,18,1.16,2,True
20,2,DEL_DS_10,28.68063,77.103125,65000,18,0.88,2,True
21,3,MUM_DS_01,19.109269,72.872776,75000,18,1.12,2,True
22,3,MUM_DS_02,19.003644,72.811565,75000,18,1.28,3,True
23,3,MUM_DS_03,19.030726,72.858792,95000,18,1.19,2,True
24,3,MUM_DS_04,19.029319,72.867428,110000,18,0.85,3,True
25,3,MUM_DS_05,19.118015,72.791334,95000,18,1.09,1,True
26,3,MUM_DS_06,19.003697,72.881306,75000,18,1.16,2,True
27,3,MUM_DS_07,19.077093,72.957789,65000,18,0.84,2,True
28,3,MUM_DS_08,19.087,72.945659,95000,18,0.96,1,True
29,3,MUM_DS_09,19.149165,72.818262,95000,18,1.26,2,True
30,3,MUM_DS_10,19.007166,72.909458,65000,18,0.81,3,True
31,4,HYD_DS_01,17.334221,78.502376,65000,18,1.04,2,True
32,4,HYD_DS_02,17.40572,78.437223,65000,18,1.04,2,True
33,4,HYD_DS_03,17.344353,78.465932,110000,18,0.81,3,True
34,4,HYD_DS_04,17.392852,78.478768,85000,18,1.08,1,True
35,4,HYD_DS_05,17.360685,78.484011,95000,18,1.18,1,True
36,4,HYD_DS_06,17.360035,78.427453,95000,18,0.82,2,True
37,4,HYD_DS_07,17.491423,78.445631,85000,18,0.96,3,True
38,4,HYD_DS_08,17.404248,78.478868,110000,18,0.93,3,True
39,4,HYD_DS_09,17.407304,78.463951,75000,18,1.3,3,True
40,4,HYD_DS_10,17.463955,78.4947,85000,18,1.25,2,True
