transfer_id,city_id,source_store_id,source_store_name,destination_store_id,destination_store_name,sku_id,sku_name,category,recommended_quantity,source_doc_before,source_doc_after,destination_doc_before,destination_doc_after,destination_risk_score,hours_to_stockout,transfer_distance_km,transfer_cost,projected_source_stock,projected_destination_stock,estimated_lost_sales_avoided,reason
1,2,15,DEL_DS_05,16,DEL_DS_06,35,BEVE_WATE_05,Beverages,204,7.68,3.26,0.0,2.51,100,0.0,4.65,26.98,150,204,25814.31,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 4.7km within configured limit.
2,4,33,HYD_DS_03,35,HYD_DS_05,61,SNAC_CHIP_01,Snacks,240,16.55,11.41,0.17,3.27,95,3.1,2.64,23.95,532,253,3507.65,Destination projected to breach safety stock within 3.1h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 11.4d). Distance is 2.6km within configured limit.
3,3,21,MUM_DS_01,25,MUM_DS_05,30,DAIR_PANE_30,Dairy,120,4.62,3.1,0.0,1.34,92,0.0,8.62,32.93,243,120,19914.0,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 8.6km within configured limit.
4,4,33,HYD_DS_03,35,HYD_DS_05,257,BABY_DIAP_17,Baby Care,126,14.56,8.7,0.0,3.37,92,0.0,2.64,23.95,187,126,25417.5,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.7d). Distance is 2.6km within configured limit.
5,1,4,BEN_DS_04,1,BEN_DS_01,154,STAP_EDIB_04,Staples,132,13.18,8.22,0.0,3.51,92,0.0,1.33,22.0,219,132,16384.84,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.2d). Distance is 1.3km within configured limit.
6,3,29,MUM_DS_09,21,MUM_DS_01,27,DAIR_CURD_27,Dairy,232,9.6,6.45,0.0,3.49,92,0.0,7.23,30.85,475,232,13742.89,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.5d). Distance is 7.2km within configured limit.
7,2,13,DEL_DS_03,19,DEL_DS_09,46,BEVE_JUIC_16,Beverages,240,6.97,3.03,0.0,2.48,92,0.0,1.71,22.57,185,240,6221.58,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 1.7km within configured limit.
8,3,26,MUM_DS_06,22,MUM_DS_02,63,SNAC_NAMK_03,Snacks,256,11.55,8.04,0.24,3.42,89,4.3,7.34,31.01,587,275,25357.5,Destination projected to breach safety stock within 4.3h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.0d). Distance is 7.3km within configured limit.
9,1,2,BEN_DS_02,3,BEN_DS_03,96,PACK_NOOD_06,Packaged Foods,84,7.15,4.41,0.11,3.14,86,2.0,4.77,27.16,135,87,10117.52,Destination projected to breach safety stock within 2.0h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.4d). Distance is 4.8km within configured limit.
10,3,25,MUM_DS_05,29,MUM_DS_09,203,PERS_ORAL_23,Personal Care,30,13.75,10.0,0.0,3.16,86,0.0,4.46,26.69,80,30,6021.86,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 10.0d). Distance is 4.5km within configured limit.
11,2,13,DEL_DS_03,14,DEL_DS_04,237,HOUS_DISH_27,Household,28,8.02,3.62,0.0,3.38,86,0.0,9.45,34.17,23,28,4071.84,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.6d). Distance is 9.4km within configured limit.
12,2,15,DEL_DS_05,16,DEL_DS_06,252,BABY_BABY_12,Baby Care,136,22.15,16.95,0.15,3.45,85,2.7,4.65,26.98,443,142,49797.51,Destination projected to breach safety stock within 2.7h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 16.9d). Distance is 4.7km within configured limit.
13,4,39,HYD_DS_09,32,HYD_DS_02,155,STAP_SPIC_05,Staples,52,22.31,19.29,0.31,3.55,85,5.6,2.84,24.27,332,57,14633.85,Destination projected to breach safety stock within 5.6h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 19.3d). Distance is 2.8km within configured limit.
14,4,38,HYD_DS_08,39,HYD_DS_09,80,SNAC_NUTS_20,Snacks,276,8.38,3.5,0.12,3.5,84,2.2,1.62,22.43,198,286,17999.0,Destination projected to breach safety stock within 2.2h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 1.6km within configured limit.
15,1,4,BEN_DS_04,1,BEN_DS_01,257,BABY_DIAP_17,Baby Care,48,5.25,4.01,0.26,1.51,83,4.7,1.33,22.0,155,58,16267.2,Destination projected to breach safety stock within 4.7h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.0d). Distance is 1.3km within configured limit.
16,3,24,MUM_DS_04,22,MUM_DS_02,219,HOUS_DISP_09,Household,48,19.48,14.32,0.07,3.38,83,1.3,6.53,29.79,133,49,7142.7,Destination projected to breach safety stock within 1.3h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 14.3d). Distance is 6.5km within configured limit.
17,2,18,DEL_DS_08,12,DEL_DS_02,122,FRUI_EXOT_02,Fruits & Vegetables,248,9.66,5.76,0.4,3.49,82,7.2,0.72,21.08,366,280,18025.56,Destination projected to breach safety stock within 7.2h (DoC: 0.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.8d). Distance is 0.7km within configured limit.
18,2,16,DEL_DS_06,14,DEL_DS_04,169,STAP_EDIB_19,Staples,84,8.53,5.1,0.34,3.52,82,6.1,7.3,30.96,125,93,16537.59,Destination projected to breach safety stock within 6.1h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.1d). Distance is 7.3km within configured limit.
19,2,13,DEL_DS_03,19,DEL_DS_09,66,SNAC_CHIP_06,Snacks,200,6.87,2.97,0.3,2.83,82,5.4,1.71,22.57,152,224,7298.1,Destination projected to breach safety stock within 5.4h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 1.7km within configured limit.
20,1,9,BEN_DS_09,8,BEN_DS_08,65,SNAC_NUTS_05,Snacks,120,4.78,3.02,0.33,2.21,81,5.9,2.21,23.31,207,141,16111.2,Destination projected to breach safety stock within 5.9h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 2.2km within configured limit.
21,4,33,HYD_DS_03,35,HYD_DS_05,191,PERS_SOAP_11,Personal Care,24,10.54,7.21,0.09,2.19,81,1.6,2.64,23.95,52,25,4253.62,Destination projected to breach safety stock within 1.6h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 7.2d). Distance is 2.6km within configured limit.
22,1,6,BEN_DS_06,9,BEN_DS_09,267,BABY_BABY_27,Baby Care,60,6.73,3.19,0.32,2.71,80,5.8,2.25,23.37,54,68,10547.82,Destination projected to breach safety stock within 5.8h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 2.2km within configured limit.
23,3,23,MUM_DS_03,22,MUM_DS_02,84,SNAC_CHOC_24,Snacks,72,4.47,3.03,0.15,1.48,78,2.7,5.8,28.7,152,80,3077.28,Destination projected to breach safety stock within 2.7h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 5.8km within configured limit.
24,3,29,MUM_DS_09,21,MUM_DS_01,166,STAP_ATTA_16,Staples,72,15.36,12.72,0.41,3.34,76,7.4,7.23,30.85,346,82,12443.0,Destination projected to breach safety stock within 7.4h (DoC: 0.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 12.7d). Distance is 7.2km within configured limit.
