priority_rank,date_key,store_id,store_name,city_id,sku_id,sku_name,category,risk_score,risk_level,hours_to_stockout,days_of_cover,current_closing_stock,projected_inventory,reorder_point,target_stock,recommended_quantity,case_pack_size,lost_sales_exposure,reason,action
1,20260629,16,DEL_DS_06,2,35,BEVE_WATE_05,Beverages,100,Critical,0.0,0.0,0,0,408,732,732,12,12850.14,Projected inventory (0) breached ROP (408). Target: 732.,Immediate Replenishment
2,20260629,35,HYD_DS_05,4,61,SNAC_CHIP_01,Snacks,95,Critical,3.1,0.17,13,13,330,640,648,24,1749.07,Projected inventory (13) breached ROP (330). Target: 640.,Immediate Replenishment
3,20260629,25,MUM_DS_05,3,30,DAIR_PANE_30,Dairy,92,Critical,0.0,0.0,0,0,322,770,792,24,14840.91,Projected inventory (0) breached ROP (322). Target: 770.,Immediate Replenishment
4,20260629,35,HYD_DS_05,4,257,BABY_DIAP_17,Baby Care,92,Critical,0.0,0.0,0,0,137,324,324,6,12661.3,Projected inventory (0) breached ROP (137). Target: 324.,Immediate Replenishment
5,20260629,1,BEN_DS_01,1,154,STAP_EDIB_04,Staples,92,Critical,0.0,0.0,0,0,206,357,360,12,8114.81,Projected inventory (0) breached ROP (206). Target: 357.,Immediate Replenishment
6,20260629,21,MUM_DS_01,3,27,DAIR_CURD_27,Dairy,92,Critical,0.0,0.0,0,0,246,512,512,4,6871.44,Projected inventory (0) breached ROP (246). Target: 512.,Immediate Replenishment
7,20260629,19,DEL_DS_09,2,46,BEVE_JUIC_16,Beverages,92,Critical,0.0,0.0,0,0,335,819,840,24,3104.06,Projected inventory (0) breached ROP (335). Target: 819.,Immediate Replenishment
8,20260629,22,MUM_DS_02,3,63,SNAC_NAMK_03,Snacks,89,Critical,4.3,0.24,19,19,301,622,608,8,12656.7,Projected inventory (19) breached ROP (301). Target: 622.,Immediate Replenishment
9,20260629,3,BEN_DS_03,1,96,PACK_NOOD_06,Packaged Foods,86,Critical,2.0,0.11,3,3,57,209,216,12,5006.37,Projected inventory (3) breached ROP (57). Target: 209.,Immediate Replenishment
10,20260629,29,MUM_DS_09,3,203,PERS_ORAL_23,Personal Care,86,Critical,0.0,0.0,0,0,47,76,78,6,3010.93,Projected inventory (0) breached ROP (47). Target: 76.,Immediate Replenishment
11,20260629,14,DEL_DS_04,2,237,HOUS_DISH_27,Household,86,Critical,0.0,0.0,0,0,12,62,4,4,1985.62,Projected inventory (0) breached ROP (12). Target: 62. Scaled down to respect dark store physical capacity buffer.,Immediate Replenishment
12,20260629,21,MUM_DS_01,3,212,HOUS_DISH_02,Household,86,Critical,0.0,0.0,0,0,42,95,96,24,1590.01,Projected inventory (0) breached ROP (42). Target: 95.,Immediate Replenishment
13,20260629,16,DEL_DS_06,2,252,BABY_BABY_12,Baby Care,85,Critical,2.7,0.15,6,6,195,319,316,4,24724.76,Projected inventory (6) breached ROP (195). Target: 319.,Immediate Replenishment
14,20260629,32,HYD_DS_02,4,155,STAP_SPIC_05,Staples,85,Critical,5.6,0.31,5,5,102,150,4,4,7126.24,Projected inventory (5) breached ROP (102). Target: 150. Scaled down to respect dark store physical capacity buffer.,Immediate Replenishment
15,20260629,39,HYD_DS_09,4,80,SNAC_NUTS_20,Snacks,84,Critical,2.2,0.12,10,10,163,613,604,4,8976.45,Projected inventory (10) breached ROP (163). Target: 613.,Immediate Replenishment
16,20260629,1,BEN_DS_01,1,257,BABY_DIAP_17,Baby Care,83,Critical,4.7,0.26,10,10,121,314,306,6,13047.65,Projected inventory (10) breached ROP (121). Target: 314.,Immediate Replenishment
17,20260629,22,MUM_DS_02,3,219,HOUS_DISP_09,Household,83,Critical,1.3,0.07,1,1,56,114,120,24,3571.35,Projected inventory (1) breached ROP (56). Target: 114.,Immediate Replenishment
18,20260629,12,DEL_DS_02,2,122,FRUI_EXOT_02,Fruits & Vegetables,82,Critical,7.2,0.4,32,32,219,619,8,8,8972.47,Projected inventory (32) breached ROP (219). Target: 619. Scaled down to respect dark store physical capacity buffer.,Immediate Replenishment
