date_key,store_id,sku_id,requested_units,fulfilled_units,cancelled_units,selling_price,revenue,opening_stock,inbound_stock,sku_name,category,root_cause,lost_sales_value
20260101,1,52,43,36,7,138.55,4987.8,36,0,BEVE_COLD_22,Beverages,Unforecasted Demand Spike,969.85
20260101,1,227,4,3,1,254.28,762.84,4,0,HOUS_DISH_17,Household,Delayed / Missing Inbound Replenishment,254.28
20260101,3,47,66,57,9,107.14,6106.98,57,0,BEVE_COLD_17,Beverages,Unforecasted Demand Spike,964.26
20260101,7,37,50,41,9,93.59,3837.19,41,0,BEVE_COLD_07,Beverages,Unforecasted Demand Spike,842.31
20260101,7,158,58,47,11,65.45,3076.15,47,0,STAP_DALS_08,Staples,Unforecasted Demand Spike,719.95
20260101,7,175,50,42,8,353.33,14839.86,42,0,STAP_SPIC_25,Staples,Unforecasted Demand Spike,2826.64
20260101,7,231,6,5,1,259.78,1298.9,5,0,HOUS_DETE_21,Household,Forecast Underestimation & Buffer Shortage,259.78
20260101,7,284,17,13,4,420.04,5460.52,13,0,PET _CAT _14,Pet Care,Forecast Underestimation & Buffer Shortage,1680.16
20260101,9,58,230,118,112,99.9,11788.2,118,0,BEVE_TEA _28,Beverages,Unforecasted Demand Spike,11188.8
20260101,9,171,58,23,35,329.23,7572.29,23,0,STAP_ATTA_21,Staples,Unforecasted Demand Spike,11523.05
20260101,10,31,95,77,18,94.42,7270.34,77,0,BEVE_JUIC_01,Beverages,Unforecasted Demand Spike,1699.56
20260101,12,33,66,61,5,72.36,4413.96,62,0,BEVE_TEA _03,Beverages,Unforecasted Demand Spike,361.8
20260101,14,34,72,70,2,62.4,4368.0,70,0,BEVE_ENER_04,Beverages,Unforecasted Demand Spike,124.8
20260101,14,165,79,52,27,296.84,15435.68,52,0,STAP_SPIC_15,Staples,Unforecasted Demand Spike,8014.68
20260101,16,41,82,80,2,104.58,8366.4,80,0,BEVE_JUIC_11,Beverages,Unforecasted Demand Spike,209.16
20260101,16,53,104,78,26,36.4,2839.2,78,0,BEVE_TEA _23,Beverages,Unforecasted Demand Spike,946.4
20260101,16,59,59,50,9,48.81,2440.5,50,0,BEVE_ENER_29,Beverages,Unforecasted Demand Spike,439.29
20260101,16,142,64,61,3,64.0,3904.0,61,0,FRUI_EXOT_22,Fruits & Vegetables,Unforecasted Demand Spike,192.0
20260101,17,2,204,154,50,47.2,7268.8,154,0,DAIR_CURD_02,Dairy,Unforecasted Demand Spike,2360.0
20260101,17,38,79,65,14,48.32,3140.8,65,0,BEVE_TEA _08,Beverages,Unforecasted Demand Spike,676.48
20260101,17,59,56,49,7,48.81,2391.69,49,0,BEVE_ENER_29,Beverages,Unforecasted Demand Spike,341.67
20260101,18,56,84,78,6,37.24,2904.72,78,0,BEVE_JUIC_26,Beverages,Unforecasted Demand Spike,223.44
20260101,19,51,52,47,5,82.5,3877.5,47,0,BEVE_JUIC_21,Beverages,Unforecasted Demand Spike,412.5
20260101,19,140,42,38,4,54.59,2074.42,38,0,FRUI_CUT _20,Fruits & Vegetables,Unforecasted Demand Spike,218.36
20260101,19,262,39,37,2,373.45,13817.65,37,0,BABY_BABY_22,Baby Care,Forecast Underestimation & Buffer Shortage,746.9
20260101,21,34,68,63,5,62.4,3931.2,63,0,BEVE_ENER_04,Beverages,Unforecasted Demand Spike,312.0
20260101,21,42,102,84,18,54.5,4578.0,84,0,BEVE_COLD_12,Beverages,Unforecasted Demand Spike,981.0
20260101,21,55,95,88,7,76.58,6739.04,88,0,BEVE_WATE_25,Beverages,Unforecasted Demand Spike,536.06
20260101,21,159,33,32,1,560.31,17929.92,32,0,STAP_EDIB_09,Staples,Forecast Underestimation & Buffer Shortage,560.31
20260101,22,103,21,20,1,129.06,2581.2,20,0,PACK_SAUC_13,Packaged Foods,Forecast Underestimation & Buffer Shortage,129.06
20260101,22,196,7,5,2,94.9,474.5,5,0,PERS_SOAP_16,Personal Care,Forecast Underestimation & Buffer Shortage,189.8
20260101,23,23,90,86,4,57.13,4913.18,88,0,DAIR_BUTT_23,Dairy,Unforecasted Demand Spike,228.52
20260101,23,41,76,68,8,104.58,7111.44,68,0,BEVE_JUIC_11,Beverages,Unforecasted Demand Spike,836.64
20260101,23,48,66,60,6,54.7,3282.0,60,0,BEVE_TEA _18,Beverages,Unforecasted Demand Spike,328.2
20260101,23,144,71,70,1,40.24,2816.8,70,0,FRUI_SEAS_24,Fruits & Vegetables,Unforecasted Demand Spike,40.24
20260101,26,34,75,74,1,62.4,4617.6,74,0,BEVE_ENER_04,Beverages,Unforecasted Demand Spike,62.4
20260101,26,50,59,44,15,119.26,5247.44,44,0,BEVE_WATE_20,Beverages,Unforecasted Demand Spike,1788.9
20260101,29,31,113,81,32,94.42,7648.02,81,0,BEVE_JUIC_01,Beverages,Unforecasted Demand Spike,3021.44
20260101,29,32,125,104,21,101.75,10582.0,104,0,BEVE_COLD_02,Beverages,Unforecasted Demand Spike,2136.75
20260101,29,46,111,91,20,32.07,2918.37,91,0,BEVE_JUIC_16,Beverages,Unforecasted Demand Spike,641.4
20260101,29,100,44,38,6,109.11,4146.18,38,0,PACK_READ_10,Packaged Foods,Unforecasted Demand Spike,654.66
20260101,29,142,67,64,3,64.0,4096.0,64,0,FRUI_EXOT_22,Fruits & Vegetables,Unforecasted Demand Spike,192.0
20260101,29,177,30,28,2,113.98,3191.44,28,0,STAP_RICE_27,Staples,Forecast Underestimation & Buffer Shortage,227.96
20260101,29,184,8,6,2,343.84,2063.04,6,0,PERS_SKIN_04,Personal Care,Forecast Underestimation & Buffer Shortage,687.68
20260101,29,233,14,12,2,161.93,1943.16,12,0,HOUS_CLEA_23,Household,Forecast Underestimation & Buffer Shortage,323.86
20260101,29,293,13,12,1,478.5,5742.0,12,0,PET _PET _23,Pet Care,Forecast Underestimation & Buffer Shortage,478.5
20260101,32,42,86,83,3,54.5,4523.5,83,0,BEVE_COLD_12,Beverages,Unforecasted Demand Spike,163.5
20260101,34,51,48,46,2,82.5,3795.0,46,0,BEVE_JUIC_21,Beverages,Unforecasted Demand Spike,165.0
20260101,35,42,86,83,3,54.5,4523.5,83,0,BEVE_COLD_12,Beverages,Unforecasted Demand Spike,163.5
20260101,39,46,97,93,4,32.07,2982.51,93,0,BEVE_JUIC_16,Beverages,Unforecasted Demand Spike,128.28
20260101,39,56,97,89,8,37.24,3314.36,89,0,BEVE_JUIC_26,Beverages,Unforecasted Demand Spike,297.92
20260101,39,58,273,93,180,99.9,9290.7,93,0,BEVE_TEA _28,Beverages,Unforecasted Demand Spike,17982.0
20260101,39,60,46,42,4,146.5,6153.0,42,0,BEVE_WATE_30,Beverages,Unforecasted Demand Spike,586.0
20260101,39,275,22,10,12,359.71,3597.1,10,0,PET _DOG _05,Pet Care,Forecast Underestimation & Buffer Shortage,4316.52
20260102,1,5,48,30,18,94.1,2823.0,30,0,DAIR_PANE_05,Dairy,Unforecasted Demand Spike,1693.8
20260102,1,18,48,26,22,203.24,5284.24,26,0,DAIR_BUTT_18,Dairy,Unforecasted Demand Spike,4471.28
20260102,1,28,42,17,25,39.17,665.89,17,0,DAIR_BUTT_28,Dairy,Unforecasted Demand Spike,979.25
20260102,1,36,71,55,16,97.34,5353.7,55,0,BEVE_JUIC_06,Beverages,Unforecasted Demand Spike,1557.44
20260102,1,50,64,37,27,119.26,4412.62,37,0,BEVE_WATE_20,Beverages,Unforecasted Demand Spike,3220.02
20260102,1,51,68,59,9,82.5,4867.5,59,0,BEVE_JUIC_21,Beverages,Unforecasted Demand Spike,742.5
20260102,1,59,65,39,26,48.81,1903.59,39,0,BEVE_ENER_29,Beverages,Unforecasted Demand Spike,1269.06
20260102,1,60,64,27,37,146.5,3955.5,27,0,BEVE_WATE_30,Beverages,Unforecasted Demand Spike,5420.5
20260102,1,69,41,12,29,49.81,597.72,12,0,SNAC_CHOC_09,Snacks,Unforecasted Demand Spike,1444.49
20260102,1,75,36,18,18,85.91,1546.38,18,0,SNAC_NUTS_15,Snacks,Forecast Underestimation & Buffer Shortage,1546.38
20260102,1,85,42,8,34,172.15,1377.2,8,0,SNAC_NUTS_25,Snacks,Unforecasted Demand Spike,5853.1
20260102,1,86,43,30,13,113.54,3406.2,30,0,SNAC_CHIP_26,Snacks,Unforecasted Demand Spike,1476.02
20260102,1,91,21,20,1,240.18,4803.6,20,0,PACK_NOOD_01,Packaged Foods,Forecast Underestimation & Buffer Shortage,240.18
20260102,1,98,19,13,6,222.22,2888.86,13,0,PACK_SAUC_08,Packaged Foods,Forecast Underestimation & Buffer Shortage,1333.32
20260102,1,109,16,13,3,206.34,2682.42,13,0,PACK_BREA_19,Packaged Foods,Forecast Underestimation & Buffer Shortage,619.02
20260102,1,123,48,34,14,81.34,2765.56,34,0,FRUI_DAIL_03,Fruits & Vegetables,Unforecasted Demand Spike,1138.76
20260102,1,155,22,16,6,443.45,7095.2,16,0,STAP_SPIC_05,Staples,Forecast Underestimation & Buffer Shortage,2660.7
20260102,1,161,19,14,5,425.67,5959.38,14,0,STAP_ATTA_11,Staples,Forecast Underestimation & Buffer Shortage,2128.35
20260102,1,164,15,4,11,366.94,1467.76,6,0,STAP_EDIB_14,Staples,Forecast Underestimation & Buffer Shortage,4036.34
20260102,1,176,21,10,11,283.47,2834.7,10,0,STAP_ATTA_26,Staples,Forecast Underestimation & Buffer Shortage,3118.17
20260102,1,193,6,5,1,124.41,622.05,5,0,PERS_ORAL_13,Personal Care,Forecast Underestimation & Buffer Shortage,124.41
20260102,1,205,4,1,3,130.63,130.63,1,0,PERS_SANI_25,Personal Care,Delayed / Missing Inbound Replenishment,391.89
20260102,1,227,4,0,4,254.28,0.0,0,0,HOUS_DISH_17,Household,Delayed / Missing Inbound Replenishment,1017.12
20260102,1,231,5,3,2,259.78,779.34,5,0,HOUS_DETE_21,Household,Forecast Underestimation & Buffer Shortage,519.56
20260102,1,240,5,4,1,223.75,895.0,4,0,HOUS_REPE_30,Household,Delayed / Missing Inbound Replenishment,223.75
20260102,1,259,16,9,7,361.83,3256.47,9,0,BABY_BABY_19,Baby Care,Forecast Underestimation & Buffer Shortage,2532.81
20260102,1,266,24,21,3,106.13,2228.73,21,0,BABY_BABY_26,Baby Care,Forecast Underestimation & Buffer Shortage,318.39
20260102,1,271,5,3,2,561.27,1683.81,3,0,PET _DOG _01,Pet Care,Delayed / Missing Inbound Replenishment,1122.54
20260102,1,273,4,2,2,256.39,512.78,2,0,PET _PET _03,Pet Care,Delayed / Missing Inbound Replenishment,512.78
20260102,1,281,5,1,4,208.33,208.33,1,0,PET _PET _11,Pet Care,Delayed / Missing Inbound Replenishment,833.32
20260102,1,287,4,1,3,342.13,342.13,1,0,PET _DOG _17,Pet Care,Delayed / Missing Inbound Replenishment,1026.39
20260102,1,290,5,3,2,240.2,720.6,3,0,PET _PET _20,Pet Care,Delayed / Missing Inbound Replenishment,480.4
20260102,1,294,6,5,1,77.14,385.7,5,0,PET _PET _24,Pet Care,Forecast Underestimation & Buffer Shortage,77.14
20260102,2,35,103,47,56,158.37,7443.39,47,0,BEVE_WATE_05,Beverages,Unforecasted Demand Spike,8868.72
20260102,2,39,76,20,56,95.49,1909.8,20,0,BEVE_ENER_09,Beverages,Unforecasted Demand Spike,5347.44
20260102,2,41,96,52,44,104.58,5438.16,52,0,BEVE_JUIC_11,Beverages,Unforecasted Demand Spike,4601.52
20260102,2,50,66,24,42,119.26,2862.24,24,0,BEVE_WATE_20,Beverages,Unforecasted Demand Spike,5008.92
20260102,2,62,71,62,9,153.75,9532.5,62,0,SNAC_BISC_02,Snacks,Unforecasted Demand Spike,1383.75
20260102,2,63,77,58,19,157.5,9135.0,58,0,SNAC_NAMK_03,Snacks,Unforecasted Demand Spike,2992.5
20260102,2,64,86,57,29,46.19,2632.83,59,0,SNAC_CHOC_04,Snacks,Unforecasted Demand Spike,1339.51
20260102,2,89,54,37,17,50.88,1882.56,37,0,SNAC_CHOC_29,Snacks,Unforecasted Demand Spike,864.96
20260102,2,104,44,35,9,98.3,3440.5,35,0,PACK_BREA_14,Packaged Foods,Unforecasted Demand Spike,884.7
20260102,2,122,80,22,58,111.96,2463.12,22,0,FRUI_EXOT_02,Fruits & Vegetables,Unforecasted Demand Spike,6493.68
20260102,2,123,43,4,39,81.34,325.36,4,0,FRUI_DAIL_03,Fruits & Vegetables,Delayed / Missing Inbound Replenishment,3172.26
20260102,2,135,85,32,53,112.02,3584.64,32,0,FRUI_CUT _15,Fruits & Vegetables,Unforecasted Demand Spike,5937.06
20260102,2,149,75,26,49,103.98,2703.48,26,0,FRUI_SEAS_29,Fruits & Vegetables,Unforecasted Demand Spike,5095.02
20260102,2,155,22,15,7,443.45,6651.75,15,0,STAP_SPIC_05,Staples,Forecast Underestimation & Buffer Shortage,3104.15
20260102,2,173,24,17,7,69.06,1174.02,17,0,STAP_DALS_23,Staples,Forecast Underestimation & Buffer Shortage,483.42
20260102,2,174,42,39,3,511.67,19955.13,39,0,STAP_EDIB_24,Staples,Unforecasted Demand Spike,1535.01
20260102,2,185,15,3,12,218.07,654.21,3,0,PERS_SANI_05,Personal Care,Delayed / Missing Inbound Replenishment,2616.84
20260102,2,210,8,7,1,212.16,1485.12,7,0,PERS_SANI_30,Personal Care,Forecast Underestimation & Buffer Shortage,212.16
20260102,2,213,8,3,5,243.34,730.02,3,0,HOUS_CLEA_03,Household,Delayed / Missing Inbound Replenishment,1216.7
20260102,2,219,13,2,11,246.3,492.6,2,0,HOUS_DISP_09,Household,Delayed / Missing Inbound Replenishment,2709.3
20260102,2,225,6,5,1,127.69,638.45,5,0,HOUS_REPE_15,Household,Forecast Underestimation & Buffer Shortage,127.69
20260102,2,226,46,35,11,300.71,10524.85,35,0,HOUS_DETE_16,Household,Unforecasted Demand Spike,3307.81
20260102,2,235,15,3,12,297.9,893.7,3,0,HOUS_REPE_25,Household,Delayed / Missing Inbound Replenishment,3574.8
20260102,2,248,28,19,9,475.65,9037.35,19,0,BABY_BABY_08,Baby Care,Forecast Underestimation & Buffer Shortage,4280.85
20260102,2,255,23,5,18,500.03,2500.15,5,0,BABY_BABY_15,Baby Care,Forecast Underestimation & Buffer Shortage,9000.54
20260102,2,261,21,13,8,419.38,5451.94,13,0,BABY_DIAP_21,Baby Care,Forecast Underestimation & Buffer Shortage,3355.04
20260102,2,268,23,9,14,129.29,1163.61,9,0,BABY_BABY_28,Baby Care,Forecast Underestimation & Buffer Shortage,1810.06
20260102,2,283,7,5,2,548.52,2742.6,5,0,PET _DOG _13,Pet Care,Forecast Underestimation & Buffer Shortage,1097.04
20260102,2,290,6,1,5,240.2,240.2,1,0,PET _PET _20,Pet Care,Delayed / Missing Inbound Replenishment,1201.0
20260102,3,8,86,75,11,138.28,10371.0,75,0,DAIR_BUTT_08,Dairy,Unforecasted Demand Spike,1521.08
20260102,3,19,91,89,2,189.48,16863.72,89,0,DAIR_CHEE_19,Dairy,Unforecasted Demand Spike,378.96
20260102,3,28,35,27,8,39.17,1057.59,27,0,DAIR_BUTT_28,Dairy,Forecast Underestimation & Buffer Shortage,313.36
20260102,3,35,86,13,73,158.37,2058.81,13,0,BEVE_WATE_05,Beverages,Unforecasted Demand Spike,11561.01
20260102,3,36,70,33,37,97.34,3212.22,33,0,BEVE_JUIC_06,Beverages,Unforecasted Demand Spike,3601.58
20260102,3,47,76,0,76,107.14,0.0,0,0,BEVE_COLD_17,Beverages,Delayed / Missing Inbound Replenishment,8142.64
20260102,3,50,65,2,63,119.26,238.52,2,0,BEVE_WATE_20,Beverages,Delayed / Missing Inbound Replenishment,7513.38
20260102,3,64,83,59,24,46.19,2725.21,59,0,SNAC_CHOC_04,Snacks,Unforecasted Demand Spike,1108.56
20260102,3,123,44,19,25,81.34,1545.46,19,0,FRUI_DAIL_03,Fruits & Vegetables,Unforecasted Demand Spike,2033.5
20260102,3,126,70,32,38,64.66,2069.12,32,0,FRUI_FRES_06,Fruits & Vegetables,Unforecasted Demand Spike,2457.08
20260102,3,128,46,29,17,101.33,2938.57,29,0,FRUI_DAIL_08,Fruits & Vegetables,Unforecasted Demand Spike,1722.61
20260102,3,132,95,46,49,94.19,4332.74,46,0,FRUI_EXOT_12,Fruits & Vegetables,Unforecasted Demand Spike,4615.31
20260102,3,133,71,65,6,89.15,5794.75,65,0,FRUI_DAIL_13,Fruits & Vegetables,Unforecasted Demand Spike,534.9
20260102,3,135,71,38,33,112.02,4256.76,38,0,FRUI_CUT _15,Fruits & Vegetables,Unforecasted Demand Spike,3696.66
20260102,3,142,64,58,6,64.0,3712.0,58,0,FRUI_EXOT_22,Fruits & Vegetables,Unforecasted Demand Spike,384.0
20260102,3,159,39,17,22,560.31,9525.27,17,0,STAP_EDIB_09,Staples,Forecast Underestimation & Buffer Shortage,12326.82
20260102,3,163,18,11,7,338.27,3720.97,11,0,STAP_DALS_13,Staples,Forecast Underestimation & Buffer Shortage,2367.89
20260102,3,166,25,0,25,248.86,0.0,0,0,STAP_ATTA_16,Staples,Delayed / Missing Inbound Replenishment,6221.5
20260102,3,168,36,9,27,166.75,1500.75,9,0,STAP_DALS_18,Staples,Forecast Underestimation & Buffer Shortage,4502.25
20260102,3,169,24,21,3,312.03,6552.63,21,0,STAP_EDIB_19,Staples,Forecast Underestimation & Buffer Shortage,936.09
20260102,3,194,12,7,5,365.21,2556.47,7,0,PERS_SKIN_14,Personal Care,Forecast Underestimation & Buffer Shortage,1826.05
20260102,3,195,6,2,4,227.65,455.3,2,0,PERS_SANI_15,Personal Care,Delayed / Missing Inbound Replenishment,910.6
20260102,3,197,8,2,6,102.01,204.02,2,0,PERS_HAIR_17,Personal Care,Delayed / Missing Inbound Replenishment,612.06
20260102,3,205,5,3,2,130.63,391.89,3,0,PERS_SANI_25,Personal Care,Delayed / Missing Inbound Replenishment,261.26
20260102,3,212,10,0,10,148.46,0.0,0,0,HOUS_DISH_02,Household,Delayed / Missing Inbound Replenishment,1484.6
20260102,3,215,11,10,1,69.23,692.3,10,0,HOUS_REPE_05,Household,Forecast Underestimation & Buffer Shortage,69.23
20260102,3,221,5,3,2,209.6,628.8,3,0,HOUS_DETE_11,Household,Delayed / Missing Inbound Replenishment,419.2
20260102,3,241,35,8,27,535.8,4286.4,8,0,BABY_DIAP_01,Baby Care,Forecast Underestimation & Buffer Shortage,14466.6
20260102,3,245,33,26,7,476.05,12377.3,26,0,BABY_DIAP_05,Baby Care,Forecast Underestimation & Buffer Shortage,3332.35
20260102,3,272,7,3,4,569.34,1708.02,3,0,PET _CAT _02,Pet Care,Delayed / Missing Inbound Replenishment,2277.36
20260102,4,8,78,72,6,138.28,9956.16,72,0,DAIR_BUTT_08,Dairy,Unforecasted Demand Spike,829.68
20260102,4,17,69,48,21,108.57,5211.36,48,0,DAIR_CURD_17,Dairy,Unforecasted Demand Spike,2279.97
